namespace,key,source_hash,text,translation
,F788FDF944AEB13854066B8FEE70441B,4160172254, - untitled - , - untitled - 
,EE9FEA004DEA9B1B256B309E3FDE24AD,583879674,(0/99),(0/99)
,F8354CDC44595CD7CDAD5FBB6FC2DE00,583879674,(0/99),(0/99)
,84D39FBA4189AB18B3E943AC3AAA85F3,4006318150,*,*
,AD83ECC64ABD1B2546B2A38E523322EB,1450702627,+,+
,07AFF9FF4CE02E36FE6FE28BBC43520E,1931258111,-,-
,100DA3DE4C86D67BB625CCA1553ECD1F,1931258111,-,-
,1F1661F844450F58855BF49EAA27B955,1931258111,-,-
,381E158E4B372CBE3046E5A26372220D,1931258111,-,-
,955628354FDCA773BEB35DB307D67EE6,1931258111,-,-
,E9B4A24D48ABFEAC217ABD979FD2D29D,1931258111,-,-
,450D421743B6881CFFB6B28439295EC5,607625550,"- This is <bold> Early Access</> game, which may not work perfectly and may differ from the final version.

-  Certain features and contents are currently missing from the game. They will be gradually added during the <bold>EA</> phase.","- This is <bold> Early Access</> game, which may not work perfectly and may differ from the final version.

-  Certain features and contents are currently missing from the game. They will be gradually added during the <bold>EA</> phase."
,26C9CB924053D40D2B4634B565635475,4091598701,-undefined-,-undefined-
,A697CFC6491A0C5205E81BBE28754574,4091598701,-undefined-,-undefined-
,A85B585C48E2A5CC079789B509E9232B,4091598701,-undefined-,-undefined-
,B86C46A54C1079C28BA1D2A9246D4E24,4091598701,-undefined-,-undefined-
,2B3E78D54678F18F4C51E68431CE0BF6,3513722813,0,0
,99F8339C49F24A4ABD458CB8F4292079,3513722813,0,0
,0ACFDABF4DCAB8E4BB5AA6A5BE108E89,222083220,0 items,0 items
,29EE21E6401C23A26DB0E5BD815A73A1,590491441,0. ,0. 
,B37F415A45D42C5A654430B84F5EC993,4094647604,0.0.0.0,0.0.0.0
,94BFE70742EF61A174056186F2A8970D,2505479724,0/500,0/500
,2CD6064440DDE749739AE9AF21F5D053,437935031,000,000
,6C2BFF454EADF332A6DC01881B1A76DA,437935031,000,000
,65780E884232D38ED132D18EBABB6C52,2400145657,00:00,00:00
,E29ACEB94649B71F2907938240CE2E71,2400145657,00:00,00:00
,5AEE8579415750E32973F9BB203598C4,698590154,0m,0m
,014A01084BB74F90C4F2EF95CBAB6F24,1775452376,1,1
,99D630794171DC99161D07825C521FFB,1775452376,1,1
,BB1E9568489398DF17160CB9A96D5301,3307424851,1. 01 Jan 2023 - 00:00,1. 01 Jan 2023 - 00:00
,BD304B7F411BB186BA3B2EB7D33812DE,3698226219,10,10
,F3CA2B904AB7EEF193375F9BAF21201E,3049497938,100%,100%
